fare_product_id,fare_product_name,rider_category_id,fare_media_id,amount,currency
SMART_ADULT_SINGLE_RIDE,SMART Adult,ADULT,0,0,USD
SMART_ADULT_SINGLE_RIDE,SMART Adult,ADULT,2,0,USD
SMART_ADULT_SINGLE_RIDE,SMART Adult,ADULT,4,0,USD
SMART_DISCOUNTED_SINGLE_RIDE,SMART Discounted,DISCOUNTED,0,0,USD
SMART_DISCOUNTED_SINGLE_RIDE,SMART Discounted,DISCOUNTED,2,0,USD
SMART_DISCOUNTED_SINGLE_RIDE,SMART Discounted,DISCOUNTED,4,0,USD
SMART_YOUTH_SINGLE_RIDE,SMART Youth,YOUTH,0,0,USD
SMART_YOUTH_SINGLE_RIDE,SMART Youth,YOUTH,2,0,USD
SMART_YOUTH_SINGLE_RIDE,SMART Youth,YOUTH,4,0,USD
1X_ADULT_SINGLE_RIDE,1X Adult,ADULT,0,1.6,USD
1X_ADULT_SINGLE_RIDE,1X Adult,ADULT,2,1.6,USD
1X_ADULT_SINGLE_RIDE,1X Adult,ADULT,4,1.6,USD
1X_DISCOUNTED_SINGLE_RIDE,1X Discounted,DISCOUNTED,0,0.8,USD
1X_DISCOUNTED_SINGLE_RIDE,1X Discounted,DISCOUNTED,2,0.8,USD
1X_DISCOUNTED_SINGLE_RIDE,1X Discounted,DISCOUNTED,4,0.8,USD
1X_YOUTH_SINGLE_RIDE,1X Youth,YOUTH,0,0,USD
1X_YOUTH_SINGLE_RIDE,1X Youth,YOUTH,2,0,USD
1X_YOUTH_SINGLE_RIDE,1X Youth,YOUTH,4,0,USD
